Sensor;N;E;Latitude;Longitude;Altura
PZ‐BM‐BV‐11;9652625621;412507056;-3,1428310388198;-51,787880019841;74,48
PZ‐BM‐BV‐12;9652625621;412507056;-3,1428310388198;-51,787880019841;59,15
PZ‐BM‐BV‐13;9652636385;412475409;-3,1427334495818;-51,788164745206;69,96
PZ‐BM‐BV‐14;9652636385;412475409;-3,1427334495818;-51,788164745206;54,44
PZ‐BM‐BV‐15;9652621661;412336622;-3,1428656983645;-51,789413839864;65
PZ‐BM‐BV‐31;9652379959;412421319;-3,1450527603205;-51,78865326546;47,07
PZ‐BM‐BV‐32;9652379959;412421319;-3,1450527603205;-51,78865326546;37,6
PZ‐BM‐BV‐33;9652400447;412363135;-3,1448670294986;-51,789176747112;54,1
PZ‐BM‐BV‐34;9652400447;412363135;-3,1448670294986;-51,789176747112;39,75
PZ‐BM‐BV‐35;9652435605;412275738;-3,1445483835852;-51,789963023878;40,57
PZ‐BM‐BV‐36;9652469653;412452762;-3,1442415881973;-51,788369688607;44,13
PZ‐BM‐BV‐51;9652163056;412345,01;-3,1470143877517;-51,789341472398;41,4
PZ‐BM‐BV‐52;9652163056;412345,01;-3,1470143877517;-51,789341472398;29,8
PZ‐BM‐BV‐53;9652183378;412287,04;-3,1468301522665;-51,789863035387;27,74
PZ‐BM‐BV‐54;9652183378;412287,04;-3,1468301522665;-51,789863035387;24,57
PZ‐BM‐BV‐55;9652207172;412219166;-3,1466144430268;-51,790473699063;22,4
PZ‐BM‐BV‐56;9652220798;412179009;-3,146490909764;-51,790834994753;22,99
PZ‐BM‐BV‐71;9651945242;412270,01;-3,1489842613414;-51,790017915889;65,45
PZ‐BM‐BV‐72;9651955609;412232,96;-3,148890229984;-51,790351276168;65,21
PZ‐BM‐BV‐73;9651969,8;412180615;-3,1487614955524;-51,790822251754;56,66
PZ‐BM‐BV‐81;9651805555;412250424;-3,1502477721205;-51,790195129133;77,83
PZ‐BM‐BV‐82;9651805748;412235,15;-3,150245916047;-51,790332590416;78,54
PZ‐BM‐BV‐83;9651805748;412235,15;-3,150245916047;-51,790332590416;71,77
PE‐BM‐BV‐51;9652134524;412425787;-3,1472730500926;-51,788614723753;33
PE‐BM‐BV‐52;9652147853;412388125;-3,1471522157177;-51,788953574845;33,06
PE‐BM‐BV‐71;9651936728;412300268;-3,1490614925149;-51,789745672334;58,52
PE‐BM‐BV‐72;9651942016;412281536;-3,1490135314997;-51,789914209737;64,05
PE‐BM‐BV‐81;9651805056;412274214;-3,1502524483459;-51,789981039827;73,43
PE‐BM‐BV‐82;9651805434;412262839;-3,150248947294;-51,790083405701;75,16
RN‐BM‐BV‐01;9652838367;412556885;-3,1409068327264;-51,787430151949;102,5
RN‐BM‐BV‐02;9651599161;412222281;-3,1521146590195;-51,790449809372;98
RN‐BM‐BV‐03;9652034,38;412160965;-3,1481771571436;-51,790998645902;57,5
RN‐BM‐BV‐04;9652528551;412251996;-3,1437074100198;-51,790176053476;72
MS‐BM‐BV‐01;9652723329;412545126;-3,1419474059479;-51,78753674697;100
MS‐BM‐BV‐02;9652737,16;412505674;-3,1418220252507;-51,787891698558;90
MS‐BM‐BV‐11;9652615295;412506169;-3,1429244421103;-51,787888071434;100
MS‐BM‐BV‐12;9652636005;412445803;-3,1427366842279;-51,788431189253;82,5
MS‐BM‐BV‐21;9652501893;412467048;-3,1439500296578;-51,788240906389;100
MS‐BM‐BV‐22;9652522632;412406601;-3,1437620149189;-51,78878474884;82,5
MS‐BM‐BV‐31;9652407397;412433831;-3,144804635967;-51,788540480548;100
MS‐BM‐BV‐32;9652411092;412363974;-3,1447707338537;-51,789169126045;70
MS‐BM‐BV‐41;9652276005;412387445;-3,145992918136;-51,788958816479;100
MS‐BM‐BV‐42;9652297449;412324768;-3,145798504535;-51,789522727106;70
MS‐BM‐BV‐51;9652175893;412352494;-3,1468983164361;-51,789274038043;100
MS‐BM‐BV‐52;9652198468;412290,16;-3,1466936700314;-51,789834855417;70
MS‐BM‐BV‐61;9652048,22;412307918;-3,1480529637811;-51,7896760646;100
MS‐BM‐BV‐62;9652075526;412246,79;-3,1478055331355;-51,790225994182;70
MS‐BM‐BV‐71;9651929798;412268935;-3,1491239716733;-51,790027692837;100
MS‐BM‐BV‐72;9651939305;412226,34;-3,1490376720762;-51,79041095896;80
MS‐BM‐BV‐81;9651815618;412253639;-3,1501567549896;-51,790166130949;100
MS‐BM‐BV‐82;9651815835;412232962;-3,1501546556314;-51,790352204249;90
MNA‐BM‐BV‐51;9652177663;412363692;-3,1468823803478;-51,789173246245;86,75
MNA‐BM‐BV‐81;9651835102;412264399;-3,1499805779679;-51,790069166095;86,85
MV‐BM‐BV‐31;9652423118;412277,96;-3,1446613578272;-51,78994311135;44
MV‐BM‐BV‐51;9652231849;412188171;-3,146391002072;-51,790752467002;34
MV‐BM‐BV‐81;9651797517;412202944;-3,1503201526471;-51,790622475721;80
IN‐BM‐BV‐11;9652619509;412493633;-3,142886236791;-51,788000861597;67,8
IN‐BM‐BV‐12;9652626448;412474096;-3,1428233300735;-51,788176634208;68,05
MR‐BM‐BV‐11;9652603706;412508797;-3,1430293001576;-51,787864504227;100
MR‐BM‐BV‐31;9652405542;412439318;-3,144821451437;-51,788491117144;100
